CODE
IONQ
IONQ
JBLU
JBLU
JD
JD
JNJ
JNJ
JOBY
JOBY
JPM
JPM
KEY
KEY
KHC
KHC
KMI
KMI
KO
KO
KOPN
KOPN
KR
KR
KSS
KSS
KVUE
KVUE
LAZR
LAZR
LCID
LCID
LI
LI
LLY
LLY
LMT
LMT
LOW
LOW
LRCX
LRCX
LULU
LULU
LUMN
LUMN
LUV
LUV
LVS
LVS
LYFT
LYFT
M
M
MA
MA
MAIN
MAIN
MANU
MANU
MARA
MARA
MCD
MCD
MDB
MDB
MDLZ
MDLZ
MDT
MDT
META
META
MGM
MGM
MMM
MMM
MO
MO
MPC
MPC
MPW
MPW
MRK
MRK
MRNA
MRNA
MRO
MRO
MRVL
MRVL
MS
MS
MSFT
MSFT
MSTR
MSTR
MTCH
MTCH
MU
MU
MVIS
MVIS
NCLH
NCLH
NEE
NEE
NEM
NEM
NET
NET
NFLX
NFLX
